ID,Recency,Frequency,Monetary,Age,Age Group,Country,R,F,M,RFMGroup,RFMScore,RFM_loyalty_level,Clusters
340,1,15,372,52,Gen X,GER,1,1,2,112,4,Platinum,2
347,30,12,327,46,Gen X,CA,2,2,2,222,6,Platinum,0
359,33,14,470,72,Baby Boomers,SP,2,2,2,222,6,Platinum,2
361,84,3,13,53,Gen X,AUS,4,4,4,444,12,Bronze,3
367,74,14,231,44,Gen X,CA,3,2,3,323,8,Silver,3
368,61,9,208,48,Gen X,IND,3,3,3,333,9,Silver,3
375,79,13,1021,68,Baby Boomers,SP,4,2,1,421,7,Gold,1
378,68,17,546,51,Gen X,SP,3,1,2,312,6,Platinum,1
380,17,20,1538,68,Baby Boomers,SA,1,1,1,111,3,Platinum,2
387,59,5,33,46,Gen X,US,3,4,4,344,11,Bronze,3
405,68,8,346,58,Baby Boomers,SP,3,3,2,332,8,Silver,3
425,66,17,554,37,Millennials,IND,3,1,2,312,6,Platinum,1
437,41,14,654,46,Gen X,AUS,2,2,2,222,6,Platinum,2
448,57,17,530,44,Gen X,SP,3,1,2,312,6,Platinum,1
450,90,5,162,64,Baby Boomers,US,4,4,3,443,11,Bronze,3
451,91,3,16,33,Millennials,IND,4,4,4,444,12,Bronze,3
453,1,5,39,66,Baby Boomers,SP,1,4,4,144,9,Silver,0
454,48,22,1018,42,Gen X,SA,2,1,1,211,4,Platinum,1
455,86,8,174,76,Pre Boomers,SP,4,3,3,433,10,Bronze,3
456,96,5,17,36,Millennials,SP,4,4,4,444,12,Bronze,3
460,72,11,1618,50,Gen X,SA,3,2,1,321,6,Platinum,1
466,9,17,620,78,Pre Boomers,SP,1,1,2,112,4,Platinum,2
477,31,14,1956,36,Millennials,SP,2,2,1,221,5,Platinum,2
486,27,13,971,34,Millennials,CA,2,2,1,221,5,Platinum,2
498,28,5,47,52,Gen X,SP,2,4,3,243,9,Silver,0
500,79,16,1686,45,Gen X,SP,4,1,1,411,6,Platinum,1
503,88,5,43,37,Millennials,AUS,4,4,4,444,12,Bronze,3
520,81,3,13,48,Gen X,SP,4,4,4,444,12,Bronze,3
521,42,15,454,37,Millennials,SP,2,1,2,212,5,Platinum,2
523,51,6,49,33,Millennials,SP,3,3,3,333,9,Silver,3
524,47,4,36,56,Gen X,AUS,2,4,4,244,10,Bronze,0
528,99,15,1006,44,Gen X,IND,4,1,1,411,6,Platinum,1
531,55,17,1352,68,Baby Boomers,SP,3,1,1,311,5,Platinum,1
535,18,16,610,35,Millennials,GER,1,1,2,112,4,Platinum,2
538,78,5,67,33,Millennials,SA,4,4,3,443,11,Bronze,3
544,51,9,724,68,Baby Boomers,SP,3,3,2,332,8,Silver,1
550,87,16,591,70,Baby Boomers,SP,4,1,2,412,7,Gold,1
564,81,17,879,41,Gen X,SP,4,1,1,411,6,Platinum,1
569,32,12,1686,31,Millennials,SP,2,2,1,221,5,Platinum,2
574,96,5,61,58,Baby Boomers,GER,4,4,3,443,11,Bronze,3
577,10,4,17,46,Gen X,SP,1,4,4,144,9,Silver,0
590,35,9,1431,52,Gen X,SP,2,3,1,231,6,Platinum,2
591,76,15,507,65,Baby Boomers,IND,4,1,2,412,7,Gold,1
606,87,3,9,55,Gen X,SP,4,4,4,444,12,Bronze,3
607,31,15,462,67,Baby Boomers,IND,2,1,2,212,5,Platinum,2
610,60,13,431,69,Baby Boomers,AUS,3,2,2,322,7,Gold,1
615,29,9,175,62,Baby Boomers,SP,2,3,3,233,8,Silver,0
618,17,19,667,45,Gen X,AUS,1,1,2,112,4,Platinum,2
624,5,2,11,38,Millennials,SA,1,4,4,144,9,Silver,0
626,28,4,36,71,Baby Boomers,US,2,4,4,244,10,Bronze,0
635,51,16,533,56,Gen X,SP,3,1,2,312,6,Platinum,1
640,61,17,765,71,Baby Boomers,SP,3,1,2,312,6,Platinum,1
641,77,4,71,55,Gen X,IND,4,4,3,443,11,Bronze,3
642,69,4,6,42,Gen X,CA,3,4,4,344,11,Bronze,3
663,46,4,57,33,Millennials,SP,2,4,3,243,9,Silver,0
675,67,9,239,49,Gen X,SP,3,3,3,333,9,Silver,3
679,49,4,37,65,Baby Boomers,SP,2,4,4,244,10,Bronze,0
692,88,3,11,68,Baby Boomers,IND,4,4,4,444,12,Bronze,3
697,78,11,1944,53,Gen X,SP,4,2,1,421,7,Gold,1
701,58,14,978,51,Gen X,SP,3,2,1,321,6,Platinum,1
702,80,12,306,47,Gen X,SP,4,2,2,422,8,Silver,3
709,27,13,1011,70,Baby Boomers,SA,2,2,1,221,5,Platinum,2
713,72,10,309,45,Gen X,SP,3,3,2,332,8,Silver,3
716,63,17,885,73,Baby Boomers,SP,3,1,1,311,5,Platinum,1
736,67,5,40,39,Millennials,IND,3,4,4,344,11,Bronze,3
737,56,9,2033,73,Baby Boomers,SP,3,3,1,331,7,Gold,1
738,35,7,118,41,Gen X,IND,2,3,3,233,8,Silver,0
749,31,6,112,41,Gen X,SP,2,3,3,233,8,Silver,0
760,8,17,671,47,Gen X,SA,1,1,2,112,4,Platinum,2
762,27,15,495,41,Gen X,SP,2,1,2,212,5,Platinum,2
771,79,7,183,55,Gen X,GER,4,3,3,433,10,Bronze,3
773,64,10,476,51,Gen X,IND,3,3,2,332,8,Silver,3
793,24,5,38,49,Gen X,AUS,1,4,4,144,9,Silver,0
796,17,19,840,57,Baby Boomers,CA,1,1,2,112,4,Platinum,2
798,71,4,8,35,Millennials,SP,3,4,4,344,11,Bronze,3
800,57,4,30,62,Baby Boomers,SA,3,4,4,344,11,Bronze,3
803,82,2,17,54,Gen X,SP,4,4,4,444,12,Bronze,3
807,35,10,258,53,Gen X,IND,2,3,3,233,8,Silver,0
810,49,15,318,47,Gen X,SP,2,1,2,212,5,Platinum,2
819,84,19,881,77,Pre Boomers,SP,4,1,1,411,6,Platinum,1
821,46,17,1944,30,Millennials,CA,2,1,1,211,4,Platinum,1
830,5,8,1392,35,Millennials,IND,1,3,1,131,5,Platinum,2
832,90,18,688,56,Gen X,SP,4,1,2,412,7,Gold,1
833,62,6,70,67,Baby Boomers,SP,3,3,3,333,9,Silver,3
837,0,7,126,45,Gen X,SP,1,3,3,133,7,Gold,0
839,54,7,145,47,Gen X,SP,3,3,3,333,9,Silver,3
843,47,19,583,51,Gen X,SP,2,1,2,212,5,Platinum,2
849,65,16,501,69,Baby Boomers,SP,3,1,2,312,6,Platinum,1
850,4,15,624,54,Gen X,SP,1,1,2,112,4,Platinum,2
851,48,15,420,50,Gen X,CA,2,1,2,212,5,Platinum,2
868,99,5,61,56,Gen X,SA,4,4,3,443,11,Bronze,3
873,3,13,1144,73,Baby Boomers,SP,1,2,1,121,4,Platinum,2
879,66,14,437,46,Gen X,SA,3,2,2,322,7,Gold,1
880,47,4,36,56,Gen X,SP,2,4,4,244,10,Bronze,0
891,60,3,8,71,Baby Boomers,SP,3,4,4,344,11,Bronze,3
895,69,15,540,74,Baby Boomers,SP,3,1,2,312,6,Platinum,1
898,39,7,107,36,Millennials,SP,2,3,3,233,8,Silver,0
902,74,10,284,42,Gen X,CA,3,3,3,333,9,Silver,3
905,38,7,42,36,Millennials,SA,2,3,4,234,9,Silver,0
907,36,12,331,47,Gen X,SP,2,2,2,222,6,Platinum,0
916,67,4,27,50,Gen X,SP,3,4,4,344,11,Bronze,3
922,79,3,29,43,Gen X,GER,4,4,4,444,12,Bronze,3
933,31,3,15,44,Gen X,SP,2,4,4,244,10,Bronze,0
938,30,4,59,41,Gen X,SP,2,4,3,243,9,Silver,0
940,9,10,268,35,Millennials,SA,1,3,3,133,7,Gold,0
942,36,10,230,40,Millennials,SP,2,3,3,233,8,Silver,0
944,6,11,293,60,Baby Boomers,SP,1,2,3,123,6,Platinum,0
945,53,7,115,57,Baby Boomers,SP,3,3,3,333,9,Silver,3
946,92,8,144,64,Baby Boomers,SP,4,3,3,433,10,Bronze,3
948,32,3,18,51,Gen X,SP,2,4,4,244,10,Bronze,0
954,77,5,30,62,Baby Boomers,AUS,4,4,4,444,12,Bronze,3
955,81,8,213,60,Baby Boomers,SA,4,3,3,433,10,Bronze,3
961,92,12,581,50,Gen X,SP,4,2,2,422,8,Silver,1
965,34,14,464,51,Gen X,US,2,2,2,222,6,Platinum,2
966,98,17,642,56,Gen X,SP,4,1,2,412,7,Gold,1
967,11,14,463,46,Gen X,SP,1,2,2,122,5,Platinum,2
968,24,8,152,54,Gen X,AUS,1,3,3,133,7,Gold,0
975,25,9,208,66,Baby Boomers,AUS,2,3,3,233,8,Silver,0
977,10,13,330,65,Baby Boomers,CA,1,2,2,122,5,Platinum,2
979,11,5,37,47,Gen X,SP,1,4,4,144,9,Silver,0
983,82,9,231,38,Millennials,US,4,3,3,433,10,Bronze,3
988,84,13,1002,57,Baby Boomers,SP,4,2,1,421,7,Gold,1
999,95,17,659,31,Millennials,CA,4,1,2,412,7,Gold,1
1000,48,21,847,61,Baby Boomers,SP,2,1,2,212,5,Platinum,2
1008,31,20,878,41,Gen X,GER,2,1,1,211,4,Platinum,2
1010,94,4,58,45,Gen X,SP,4,4,3,443,11,Bronze,3
1012,26,18,664,70,Baby Boomers,AUS,2,1,2,212,5,Platinum,2
1016,43,5,48,63,Baby Boomers,CA,2,4,3,243,9,Silver,0
1020,70,12,978,49,Gen X,SP,3,2,1,321,6,Platinum,1
1029,27,10,249,52,Gen X,SP,2,3,3,233,8,Silver,0
1030,72,4,35,57,Baby Boomers,SA,3,4,4,344,11,Bronze,3
1031,5,16,970,33,Millennials,IND,1,1,1,111,3,Platinum,2
1041,3,13,375,49,Gen X,SA,1,2,2,122,5,Platinum,2
1044,44,13,505,69,Baby Boomers,AUS,2,2,2,222,6,Platinum,2
1045,55,9,229,57,Baby Boomers,SP,3,3,3,333,9,Silver,3
1048,11,7,133,50,Gen X,SA,1,3,3,133,7,Gold,0
1050,58,6,37,70,Baby Boomers,GER,3,3,4,334,10,Bronze,3
1052,24,15,855,53,Gen X,AUS,1,1,1,111,3,Platinum,2
1055,40,4,37,46,Gen X,GER,2,4,4,244,10,Bronze,0
1064,18,4,34,51,Gen X,SP,1,4,4,144,9,Silver,0
1065,85,10,1670,59,Baby Boomers,US,4,3,1,431,8,Silver,1
1071,10,20,788,46,Gen X,US,1,1,2,112,4,Platinum,2
1072,64,5,87,57,Baby Boomers,CA,3,4,3,343,10,Bronze,3
1077,52,11,602,48,Gen X,SP,3,2,2,322,7,Gold,1
1079,59,12,1076,51,Gen X,IND,3,2,1,321,6,Platinum,1
1081,26,11,922,65,Baby Boomers,SA,2,2,1,221,5,Platinum,2
1087,30,6,66,47,Gen X,SP,2,3,3,233,8,Silver,0
1092,17,13,893,42,Gen X,IND,1,2,1,121,4,Platinum,2
1100,33,6,50,62,Baby Boomers,CA,2,3,3,233,8,Silver,0
1103,60,14,1819,46,Gen X,AUS,3,2,1,321,6,Platinum,1
1109,38,3,11,40,Millennials,SP,2,4,4,244,10,Bronze,0
1118,87,15,642,66,Baby Boomers,SP,4,1,2,412,7,Gold,1
1127,62,13,1800,49,Gen X,SP,3,2,1,321,6,Platinum,1
1131,54,6,88,55,Gen X,SA,3,3,3,333,9,Silver,3
1135,96,7,39,62,Baby Boomers,CA,4,3,4,434,11,Bronze,3
1137,87,11,1125,58,Baby Boomers,SP,4,2,1,421,7,Gold,1
1139,56,10,1386,38,Millennials,SP,3,3,1,331,7,Gold,1
1142,91,12,297,69,Baby Boomers,SP,4,2,2,422,8,Silver,3
1143,43,5,30,50,Gen X,CA,2,4,4,244,10,Bronze,0
1146,5,17,751,73,Baby Boomers,AUS,1,1,2,112,4,Platinum,2
1150,36,8,1461,123,Pre Boomers,SP,2,3,1,231,6,Platinum,2
1158,27,7,118,56,Gen X,SP,2,3,3,233,8,Silver,0
1160,48,6,30,52,Gen X,SP,2,3,4,234,9,Silver,0
1162,23,16,474,35,Millennials,SP,1,1,2,112,4,Platinum,2
1165,62,13,395,64,Baby Boomers,SA,3,2,2,322,7,Gold,1
1168,62,14,1274,44,Gen X,SP,3,2,1,321,6,Platinum,1
1170,45,9,175,47,Gen X,SP,2,3,3,233,8,Silver,0
1172,71,19,1958,39,Millennials,SP,3,1,1,311,5,Platinum,1
1173,73,10,2063,75,Baby Boomers,SP,3,3,1,331,7,Gold,1
1175,24,6,181,39,Millennials,SP,1,3,3,133,7,Gold,0
1176,50,3,12,49,Gen X,SP,2,4,4,244,10,Bronze,0
1177,77,6,109,56,Gen X,SP,4,3,3,433,10,Bronze,3
1183,11,3,14,73,Baby Boomers,GER,1,4,4,144,9,Silver,0
1184,46,20,810,54,Gen X,SA,2,1,2,212,5,Platinum,2
1204,45,22,1700,52,Gen X,SA,2,1,1,211,4,Platinum,2
1212,7,14,701,49,Gen X,SP,1,2,2,122,5,Platinum,2
1215,49,12,1306,44,Gen X,SP,2,2,1,221,5,Platinum,1
1225,47,11,965,59,Baby Boomers,SA,2,2,1,221,5,Platinum,2
1232,54,12,989,40,Millennials,GER,3,2,1,321,6,Platinum,1
1241,1,4,24,38,Millennials,GER,1,4,4,144,9,Silver,0
1245,45,16,1242,56,Gen X,SP,2,1,1,211,4,Platinum,2
1250,82,5,61,46,Gen X,SP,4,4,3,443,11,Bronze,3
1272,49,17,805,57,Baby Boomers,AUS,2,1,2,212,5,Platinum,1
1277,29,20,844,62,Baby Boomers,US,2,1,2,212,5,Platinum,2
1291,90,10,282,44,Gen X,SP,4,3,3,433,10,Bronze,3
1295,96,13,492,59,Baby Boomers,CA,4,2,2,422,8,Silver,1
1307,15,7,40,44,Gen X,SP,1,3,4,134,8,Silver,0
1321,49,6,42,48,Gen X,CA,2,3,4,234,9,Silver,0
1324,93,6,47,34,Millennials,IND,4,3,3,433,10,Bronze,3
1328,56,13,447,40,Millennials,SA,3,2,2,322,7,Gold,1
1331,54,5,38,45,Gen X,AUS,3,4,4,344,11,Bronze,3
1340,42,19,1480,36,Millennials,SP,2,1,1,211,4,Platinum,2
1343,55,14,460,54,Gen X,US,3,2,2,322,7,Gold,1
1349,4,6,116,52,Gen X,IND,1,3,3,133,7,Gold,0
1351,25,20,1168,66,Baby Boomers,SP,2,1,1,211,4,Platinum,2
1357,90,7,1402,52,Gen X,GER,4,3,1,431,8,Silver,1
1361,26,11,1247,48,Gen X,SP,2,2,1,221,5,Platinum,2
1362,75,12,184,50,Gen X,GER,4,2,3,423,9,Silver,3
1371,72,11,553,46,Gen X,AUS,3,2,2,322,7,Gold,1
1377,24,9,219,68,Baby Boomers,SA,1,3,3,133,7,Gold,0
1378,24,13,460,50,Gen X,SA,1,2,2,122,5,Platinum,2
1379,12,8,202,30,Millennials,SA,1,3,3,133,7,Gold,0
1381,20,11,290,40,Millennials,SP,1,2,3,123,6,Platinum,0
1384,10,4,24,30,Millennials,US,1,4,4,144,9,Silver,0
1386,0,3,11,55,Gen X,AUS,1,4,4,144,9,Silver,0
1388,11,5,37,47,Gen X,AUS,1,4,4,144,9,Silver,0
1399,52,12,966,64,Baby Boomers,SP,3,2,1,321,6,Platinum,1
1402,1,10,992,68,Baby Boomers,GER,1,3,1,131,5,Platinum,2
1403,40,4,27,47,Gen X,SP,2,4,4,244,10,Bronze,0
1404,89,8,156,54,Gen X,SA,4,3,3,433,10,Bronze,3
1406,49,11,368,47,Gen X,SP,2,2,2,222,6,Platinum,0
1407,5,5,21,36,Millennials,GER,1,4,4,144,9,Silver,0
1409,69,12,300,71,Baby Boomers,US,3,2,2,322,7,Gold,3
1411,58,6,442,70,Baby Boomers,SP,3,3,2,332,8,Silver,3
1419,11,5,39,72,Baby Boomers,SP,1,4,4,144,9,Silver,0
1440,84,18,625,44,Gen X,SP,4,1,2,412,7,Gold,1
1446,12,18,1024,66,Baby Boomers,SA,1,1,1,111,3,Platinum,2
1448,33,6,45,59,Baby Boomers,IND,2,3,3,233,8,Silver,0
1453,59,22,958,79,Pre Boomers,SP,3,1,1,311,5,Platinum,1
1456,25,22,767,43,Gen X,IND,2,1,2,212,5,Platinum,2
1458,40,6,30,40,Millennials,SP,2,3,4,234,9,Silver,0
1459,16,10,825,56,Gen X,SP,1,3,2,132,6,Platinum,2
1461,74,5,30,57,Baby Boomers,CA,3,4,4,344,11,Bronze,3
1463,9,3,15,64,Baby Boomers,AUS,1,4,4,144,9,Silver,0
1473,0,5,59,62,Baby Boomers,CA,1,4,3,143,8,Silver,0
1490,84,18,760,60,Baby Boomers,CA,4,1,2,412,7,Gold,1
1491,87,10,319,57,Baby Boomers,CA,4,3,2,432,9,Silver,3
1497,8,11,367,70,Baby Boomers,SA,1,2,2,122,5,Platinum,0
1501,21,1,1693,40,Millennials,US,1,4,1,141,6,Platinum,2
1502,67,5,40,39,Millennials,SP,3,4,4,344,11,Bronze,3
1503,31,1,102,46,Gen X,SP,2,4,3,243,9,Silver,0
1506,26,6,102,47,Gen X,SP,2,3,3,233,8,Silver,0
1509,80,13,282,64,Baby Boomers,SP,4,2,3,423,9,Silver,3
1513,72,14,749,43,Gen X,SP,3,2,2,322,7,Gold,1
1515,9,4,20,47,Gen X,CA,1,4,4,144,9,Silver,0
1517,92,4,25,53,Gen X,SP,4,4,4,444,12,Bronze,3
1518,29,16,542,57,Baby Boomers,SP,2,1,2,212,5,Platinum,2
1519,2,6,64,50,Gen X,SP,1,3,3,133,7,Gold,0
1523,25,6,86,49,Gen X,SA,2,3,3,233,8,Silver,0
1524,1,13,869,39,Millennials,SP,1,2,1,121,4,Platinum,2
1542,26,12,382,47,Gen X,US,2,2,2,222,6,Platinum,0
1544,51,14,1498,55,Gen X,CA,3,2,1,321,6,Platinum,1
1545,95,12,345,36,Millennials,SP,4,2,2,422,8,Silver,3
1553,71,17,1806,76,Pre Boomers,GER,3,1,1,311,5,Platinum,1
1570,8,17,913,71,Baby Boomers,SP,1,1,1,111,3,Platinum,2
1577,14,8,1259,76,Pre Boomers,SP,1,3,1,131,5,Platinum,2
1581,18,3,10,42,Gen X,SP,1,4,4,144,9,Silver,0
1584,79,13,349,45,Gen X,SA,4,2,2,422,8,Silver,3
1592,25,9,1458,52,Gen X,CA,2,3,1,231,6,Platinum,2
1600,60,11,372,57,Baby Boomers,SA,3,2,2,322,7,Gold,3
1604,93,8,205,62,Baby Boomers,SP,4,3,3,433,10,Bronze,3
1606,65,3,12,51,Gen X,SA,3,4,4,344,11,Bronze,3
1612,82,6,38,41,Gen X,AUS,4,3,4,434,11,Bronze,3
1618,9,18,641,57,Baby Boomers,GER,1,1,2,112,4,Platinum,2
1619,2,10,1324,66,Baby Boomers,SP,1,3,1,131,5,Platinum,2
1626,37,3,23,49,Gen X,SA,2,4,4,244,10,Bronze,0
1627,84,14,578,65,Baby Boomers,SP,4,2,2,422,8,Silver,1
1628,54,13,686,51,Gen X,SA,3,2,2,322,7,Gold,1
1630,56,12,312,43,Gen X,SP,3,2,2,322,7,Gold,3
1631,3,15,1245,57,Baby Boomers,GER,1,1,1,111,3,Platinum,2
1640,49,5,82,68,Baby Boomers,SP,2,4,3,243,9,Silver,0
1646,36,4,25,50,Gen X,CA,2,4,4,244,10,Bronze,0
1650,13,17,1402,62,Baby Boomers,SP,1,1,1,111,3,Platinum,2
1655,81,4,34,43,Gen X,AUS,4,4,4,444,12,Bronze,3
1663,97,4,36,44,Gen X,SP,4,4,4,444,12,Bronze,3
1665,71,8,1520,58,Baby Boomers,SA,3,3,1,331,7,Gold,1
1672,74,13,360,48,Gen X,SA,3,2,2,322,7,Gold,3
1676,30,9,259,47,Gen X,SP,2,3,3,233,8,Silver,0
1685,21,17,1400,55,Gen X,CA,1,1,1,111,3,Platinum,2
1710,51,10,240,44,Gen X,SP,3,3,3,333,9,Silver,3
1715,45,5,31,44,Gen X,AUS,2,4,4,244,10,Bronze,0
1717,43,9,188,34,Millennials,SA,2,3,3,233,8,Silver,0
1726,23,3,27,52,Gen X,SP,1,4,4,144,9,Silver,0
1729,14,13,1164,61,Baby Boomers,SP,1,2,1,121,4,Platinum,2
1734,37,7,70,54,Gen X,SA,2,3,3,233,8,Silver,0
1740,22,11,902,78,Pre Boomers,SP,1,2,1,121,4,Platinum,2
1743,99,7,567,48,Gen X,SP,4,3,2,432,9,Silver,3
1744,67,3,29,57,Baby Boomers,SP,3,4,4,344,11,Bronze,3
1745,88,13,1185,60,Baby Boomers,SP,4,2,1,421,7,Gold,1
1755,93,5,66,34,Millennials,SA,4,4,3,443,11,Bronze,3
1763,62,17,2246,34,Millennials,CA,3,1,1,311,5,Platinum,1
1764,92,10,230,47,Gen X,SA,4,3,3,433,10,Bronze,3
1772,2,12,1629,47,Gen X,CA,1,2,1,121,4,Platinum,2
1773,38,5,26,44,Gen X,SA,2,4,4,244,10,Bronze,0
1777,29,5,15,42,Gen X,SP,2,4,4,244,10,Bronze,0
1802,23,15,536,51,Gen X,SP,1,1,2,112,4,Platinum,2
1818,23,4,33,51,Gen X,CA,1,4,4,144,9,Silver,0
1826,0,10,672,52,Gen X,SP,1,3,2,132,6,Platinum,2
1829,55,13,1208,61,Baby Boomers,SP,3,2,1,321,6,Platinum,1
1833,91,6,94,48,Gen X,SP,4,3,3,433,10,Bronze,3
1834,77,5,58,44,Gen X,SA,4,4,3,443,11,Bronze,3
1839,25,7,111,48,Gen X,IND,2,3,3,233,8,Silver,0
1857,2,4,58,70,Baby Boomers,SP,1,4,3,143,8,Silver,0
1859,34,12,1757,50,Gen X,GER,2,2,1,221,5,Platinum,2
1867,42,15,1050,65,Baby Boomers,SP,2,1,1,211,4,Platinum,2
1876,15,5,40,32,Millennials,IND,1,4,4,144,9,Silver,0
1878,83,5,18,37,Millennials,SP,4,4,4,444,12,Bronze,3
1880,17,5,87,63,Baby Boomers,IND,1,4,3,143,8,Silver,0
1890,95,3,16,51,Gen X,SP,4,4,4,444,12,Bronze,3
1891,12,9,1567,42,Gen X,SP,1,3,1,131,5,Platinum,2
1907,53,17,1313,72,Baby Boomers,SP,3,1,1,311,5,Platinum,1
1911,6,23,983,35,Millennials,GER,1,1,1,111,3,Platinum,2
1915,57,14,1152,71,Baby Boomers,GER,3,2,1,321,6,Platinum,1
1916,92,13,371,68,Baby Boomers,GER,4,2,2,422,8,Silver,3
1920,59,6,69,50,Gen X,SP,3,3,3,333,9,Silver,3
1921,74,5,59,55,Gen X,SP,3,4,3,343,10,Bronze,3
1927,41,9,585,49,Gen X,GER,2,3,2,232,7,Gold,0
1928,73,5,58,49,Gen X,SA,3,4,3,343,10,Bronze,3
1940,26,3,8,36,Millennials,AUS,2,4,4,244,10,Bronze,0
1945,4,14,964,60,Baby Boomers,SP,1,2,1,121,4,Platinum,2
1951,92,19,472,41,Gen X,SP,4,1,2,412,7,Gold,1
1958,85,17,647,49,Gen X,SP,4,1,2,412,7,Gold,1
